epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,_cfg_file,outdir
1,4.755286055603027,,4.424302149963379,0.0288,0.004629253409802914,0.1,766.0689386429721,2.773102283477783,65.26927733421326,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
2,4.2821189265441895,,4.0049324813842775,0.0664,0.008650553412735462,0.1,768.7055857738443,2.7741551399230957,65.04440832138062,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
3,4.024282683563232,,3.804607946777344,0.1078,0.020025746896862984,0.1,771.6932691613181,2.774230480194092,64.79258275032043,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
4,3.833443846054077,,3.5285702381134034,0.1486,0.01789132133126259,0.1,771.5861936067389,2.774305820465088,64.80157423019409,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
5,3.6361099966430666,,3.2883813388824463,0.1978,0.01422582846134901,0.1,772.0769640956188,2.774381160736084,64.76038312911987,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
6,3.4881844049072264,,3.1771815448760985,0.2258,0.027682092040777206,0.1,772.1006792995788,2.77445650100708,64.75839400291443,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
7,3.292017144165039,,2.9631965812683108,0.276,0.018139544874429703,0.1,771.6793609759902,2.774531841278076,64.79375052452087,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
8,3.1122339181518557,,2.8707986526489258,0.2961,0.019576413556933403,0.1,769.5650361942185,2.7746071815490723,64.97176671028137,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
9,2.934801951980591,,2.6266884872436522,0.3422,0.02171701192855835,0.1,771.8695018520599,2.7746825218200684,64.77878904342651,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
10,2.785394500198364,,2.3290342742919923,0.3932,0.011751210317015648,0.1,771.7832443443181,2.7747578620910645,64.78502917289734,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
11,2.6399866299438477,,2.182213851547241,0.4263,0.025932226330041885,0.1,772.0259996712961,2.7748332023620605,64.76465821266174,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
12,2.517876277923584,,2.0130783487319945,0.4624,0.028833113610744476,0.1,772.0531508691768,2.7749085426330566,64.76238059997559,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
13,2.4711660247039795,,2.1437699005126953,0.4539,0.04745829850435257,0.1,771.6654362555228,2.7749838829040527,64.79491972923279,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
14,2.2235600638198854,,1.8632115615844727,0.4979,0.009553567506372929,0.1,771.5466621219473,2.775059223175049,64.80489444732666,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
15,2.1813906355667116,,1.7920454128265382,0.5246,0.028218580409884453,0.1,772.2425688869523,2.775134563446045,64.74749541282654,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
16,2.133091719818115,,1.7581984058380127,0.5309,0.015803294256329536,0.1,771.9977846852358,2.775209903717041,64.76702523231506,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
17,1.992930068321228,,1.6200852819442748,0.5577,0.01010858453810215,0.1,771.5908067288306,2.775285243988037,64.80118680000305,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
18,1.9723880261993407,,1.8993903999328614,0.5464,0.030293824151158333,0.1,771.881081585027,2.775360584259033,64.77681756019592,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
19,1.9096225234985351,,1.6176598949432373,0.5694,0.018732625991106033,0.1,771.7097194037214,2.7754359245300293,64.7912015914917,resnet101,100,128,0.0001,True,42,cosine,0,,{'alpha': 0.2},,,False,False,D:\8099\yaml\1.yaml,runs
