epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
1,4.748878816,,4.430483467,0.0253,0.008914972,0.1,802.5874524,2.773102283,,62.29850698,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
2,4.426380347,,4.218947202,0.0382,0.00719595,0.1,807.108192,2.77415514,,61.95056319,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
3,4.296790177,,4.048173723,0.0662,0.023709752,0.1,806.9687029,2.77423048,,61.9602716,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
4,4.183786233,,3.895874613,0.0904,0.006521123,0.1,809.2573816,2.77430582,,61.78504038,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
5,4.076875941,,3.688240628,0.1228,0.020287428,0.1,806.77865,2.774381161,,61.97486758,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
6,3.957108738,,3.520757327,0.155,0.01627324,0.1,809.3496926,2.774456501,,61.77799344,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
7,3.816728579,,3.294768444,0.197,0.021158874,0.1,809.2470953,2.774531841,,61.78582573,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
8,3.709140476,,3.138314534,0.2395,0.042777568,0.1,806.9686749,2.774607182,,61.96027374,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
9,3.579427425,,2.931332806,0.2774,0.047250997,0.1,806.6772868,2.774682522,,61.98265505,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
10,3.48718873,,2.794859649,0.3033,0.050519638,0.1,806.6757384,2.774757862,,61.98277402,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
11,3.347968837,,2.593248317,0.3527,0.056713931,0.1,809.2977988,2.774833202,,61.78195477,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
12,3.219010015,,2.334528787,0.4014,0.058640275,0.1,809.2553424,2.774908543,,61.78519607,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
13,3.124635663,,2.310897705,0.4086,0.058557533,0.1,809.1324204,2.774983883,,61.79458237,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
14,3.04248158,,2.330106064,0.4298,0.070394494,0.1,807.1713341,2.775059223,,61.94522142,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
15,2.917548155,,2.159423162,0.4498,0.077372469,0.1,806.7718467,2.775134563,,61.9753902,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
16,2.898777114,,2.048021901,0.4842,0.098008186,0.1,806.6128971,2.775209904,,61.98760295,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
17,2.734754854,,2.197577221,0.5084,0.062020775,0.1,806.8150797,2.775285244,,61.97206926,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
18,2.748023207,,1.945421023,0.5232,0.103437304,0.1,806.1942508,2.775360584,,62.01979232,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
19,2.681900198,,1.856686522,0.5217,0.083879724,0.1,806.7325472,2.775435925,,61.97840929,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
20,2.656183097,,1.748957082,0.5536,0.083753422,0.1,809.5751039,2.775511265,,61.76079249,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
21,2.562426382,,2.018471593,0.5582,0.061100096,0.1,809.6835676,2.775586605,,61.75351906,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
22,2.514442999,,1.82027187,0.5548,0.103398263,0.1,806.0865029,2.775661945,,62.02808237,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
23,2.54975696,,1.827889441,0.576,0.107302248,0.1,807.4308905,2.775737286,,61.92480445,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
24,2.464313241,,1.615727002,0.5848,0.094073668,0.1,806.2749062,2.775812626,,62.01358819,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
25,2.406372196,,1.55196714,0.5962,0.088529952,0.1,812.0870564,2.775887966,,61.56975365,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
26,2.380254648,,1.517264859,0.6041,0.095820971,0.1,806.8834691,2.775963306,,61.96681666,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
27,2.392540529,,1.426322225,0.632,0.100489371,0.1,806.4782157,2.776038647,,61.99795485,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
28,2.370138132,,1.44677345,0.6313,0.107284993,0.1,807.0245933,2.776113987,,61.95698047,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
29,2.375507367,,1.612539331,0.589,0.086118005,0.1,806.340978,2.776189327,,62.00850677,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
30,2.314470155,,1.498202332,0.6147,0.085550867,0.1,809.807392,2.776264668,,61.74407673,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
31,2.285245847,,1.424250403,0.6253,0.077400804,0.1,808.8641257,2.776340008,,61.81507921,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
32,2.232193543,,1.343952177,0.6529,0.098036483,0.1,807.1457853,2.776415348,,61.94667792,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
33,2.219665482,,1.338733012,0.6517,0.092341721,0.1,809.4118177,2.776490688,,61.77325177,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
34,2.233683118,,1.374517815,0.6418,0.082620628,0.1,809.2051656,2.776566029,,61.78902721,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
35,2.219946506,,1.44348156,0.6262,0.078896403,0.1,809.5425276,2.776641369,,61.7642777,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
36,2.143525373,,1.353959338,0.6483,0.082193032,0.1,806.6525604,2.776716709,,61.98455501,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
37,2.091352984,,1.263250059,0.6637,0.048790667,0.1,806.7407184,2.776792049,,61.97778153,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
38,2.090632744,,1.321694489,0.6616,0.097479254,0.1,806.6708855,2.77686739,,61.98314691,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
39,2.096958382,,1.479395672,0.6401,0.137805015,0.1,812.3367351,2.77694273,,61.55082965,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
40,2.091332145,,1.370999924,0.6676,0.146311015,0.1,808.683747,2.77701807,,61.8288672,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
41,2.007068513,,1.248410581,0.6772,0.077002697,0.1,807.1896331,2.77709341,,61.94331288,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
42,2.037735454,,1.286116927,0.6787,0.115930863,0.1,806.5544177,2.777168751,,61.99209738,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
43,2.073438417,,1.41840664,0.6669,0.112603903,0.1,809.2353447,2.777244091,,61.78772283,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
44,1.97621001,,1.273401749,0.6706,0.083650142,0.1,807.0817899,2.777319431,,61.95158982,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
45,1.960457896,,1.271186925,0.6793,0.099149629,0.1,806.6348815,2.777394772,,61.98591352,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
46,1.916427805,,1.168492955,0.6952,0.056062654,0.1,809.7006989,2.777470112,,61.7512126,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
47,1.979138239,,1.240866089,0.6849,0.093735114,0.1,811.6068002,2.777545452,,61.60718656,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
48,2.029478613,,1.293725128,0.6833,0.134135664,0.1,808.9539941,2.777620792,,61.80821204,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
