epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,_cfg_file,outdir
1,4.801673144683838,0.01312,4.5255071151733395,0.0199,0.0024466710165143013,0.1,805.6900352744103,2.775299072265625,62.059606075286865,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
2,4.421872519683838,0.03006,4.194027407073975,0.0451,0.005305297672748566,0.1,810.87728854493,2.7753748893737793,61.66161108016968,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
3,4.141146406402588,0.05318,3.9353961196899414,0.0802,0.011897912248969078,0.1,811.7722113336376,2.7754502296447754,61.59463334083557,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
4,3.9291342457580565,0.08394,3.7007061195373536,0.1182,0.0169362910091877,0.1,809.4280064910881,2.7755255699157715,61.77301597595215,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
5,3.70718620223999,0.12224,3.480525528717041,0.1682,0.014237034134566784,0.1,808.7141148565452,2.7756009101867676,61.82654547691345,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
6,3.4803981141662597,0.16508,3.2250750106811523,0.2091,0.022346509620547295,0.1,804.8409921976187,2.7756762504577637,62.124072313308716,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
7,3.2664869831848145,0.20606,3.0565001903533937,0.2455,0.030888760462403297,0.1,808.9882456586914,2.7757515907287598,61.80559515953064,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
8,3.0485005937957763,0.24444,2.8339199165344238,0.2837,0.025292951613664627,0.1,809.6744301892917,2.775826930999756,61.7532160282135,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
9,2.8170458984375,0.28738,2.7754867225646973,0.3287,0.019438713788986206,0.1,811.1479403516608,2.775902271270752,61.64203715324402,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
10,2.6130835833740234,0.33058,2.476278045272827,0.3706,0.05075987055897713,0.1,809.9270064964182,2.775977611541748,61.73395824432373,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
11,2.4188346853637697,0.36992,2.430836544418335,0.3738,0.05649515241384506,0.1,809.4302308646895,2.776052951812744,61.771846532821655,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
12,2.2339385360717774,0.40952,2.1658780780792237,0.435,0.0653887689113617,0.1,809.4164599391763,2.7761282920837402,61.772897481918335,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
13,2.0637158409881593,0.4465,1.997353617477417,0.4674,0.05500037968158722,0.1,808.2627276890679,2.7762036323547363,61.86107349395752,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
14,1.914662403717041,0.47792,1.8743482444763184,0.4892,0.06419100612401962,0.1,810.3446642978626,2.7762789726257324,61.70214009284973,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
15,1.7824855673217774,0.50996,1.7788469841003418,0.5147,0.07824580371379852,0.1,808.9852279357248,2.7763543128967285,61.80582571029663,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
16,1.6791513637924194,0.53422,1.6150994548797608,0.558,0.04583880305290222,0.1,809.7797968282711,2.7764296531677246,61.74518084526062,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
17,1.5438682313919068,0.56628,1.6596061643600464,0.5414,0.07879191637039185,0.1,809.3335787374943,2.7765049934387207,61.77922344207764,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
18,1.4499410257339478,0.58796,1.6419908214569092,0.5562,0.08200078457593918,0.1,808.7601917271387,2.776580333709717,61.823023080825806,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
19,1.4146368619537353,0.59688,1.5565290567398071,0.5809,0.08668972551822662,0.1,809.4387535778257,2.776655673980713,61.771196126937866,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
20,1.3135128806304932,0.62038,1.5843649433135987,0.5747,0.0925285816192627,0.1,809.4970521234621,2.776731014251709,61.76674747467041,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
21,1.2358869672775268,0.64318,1.4291326755523681,0.6071,0.0851564034819603,0.1,809.2747384842841,2.776806354522705,61.78371524810791,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
22,1.1785897060012818,0.65798,1.3716753955841063,0.619,0.06587089598178864,0.1,809.1655974808986,2.776881694793701,61.79204869270325,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
23,1.1156616040420533,0.67478,1.3596321800231934,0.6313,0.07635247707366943,0.1,809.3686683407844,2.7769570350646973,61.77654504776001,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
24,1.0644008469390869,0.68446,1.3881742027282715,0.6214,0.08842292428016663,0.1,810.0655395952795,2.7770323753356934,61.723400831222534,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
25,1.0131665064811706,0.69796,1.32708037815094,0.6341,0.09095284342765808,0.1,806.8288491327942,2.7771077156066895,61.97101163864136,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
26,0.9682833452224732,0.71014,1.3946573440551757,0.6249,0.09394717216491699,0.1,808.360358089016,2.7771830558776855,61.853602170944214,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
27,0.9302411688613892,0.72196,1.305815358543396,0.6481,0.09830029308795929,0.1,806.8464869018333,2.7772583961486816,61.9696569442749,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
28,0.885336602973938,0.7319,1.376006348991394,0.6338,0.10836594551801682,0.1,809.655468231536,2.7773337364196777,61.75566244125366,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
