epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,outdir
1,4.800920495910645,0.0137,4.437305673980713,0.0233,0.004057357087731361,0.1,696.9344438129472,2.775299072265625,71.74275922775269,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
2,4.251367158355713,0.03892,4.0295507415771485,0.0603,0.01116938330233097,0.1,687.557726729743,2.7753748893737793,72.72116661071777,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
3,3.912329833908081,0.08204,3.708892070007324,0.1135,0.012662029825150967,0.1,718.4919425752694,2.7754502296447754,69.59020280838013,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
4,3.6312786512756348,0.1287,3.5697681285858156,0.15,0.03381425887346268,0.1,719.5744827983776,2.7755255699157715,69.4855101108551,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
5,3.3598028154754638,0.17892,3.1669198844909667,0.2244,0.008743081241846085,0.1,716.7855785401545,2.7756009101867676,69.75586771965027,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
6,3.112391173248291,0.2285,3.0251773475646972,0.2594,0.021559886634349823,0.1,717.3779835249479,2.7756762504577637,69.6982638835907,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
7,2.8831616369628907,0.2734,2.7870658855438233,0.2952,0.05328480154275894,0.1,719.4216592926489,2.7757515907287598,69.50027060508728,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
8,2.66227228767395,0.317,2.602675109863281,0.3339,0.04243193566799164,0.1,714.5025414992826,2.775826930999756,69.97875738143921,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
9,2.473975000152588,0.35338,2.476130962371826,0.3652,0.0899086445569992,0.1,717.7331259585167,2.775902271270752,69.66377639770508,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
10,2.2991732872009276,0.3924,2.3624340675354003,0.3989,0.038388729095458984,0.1,719.696526555318,2.775977611541748,69.4747257232666,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
