epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,outdir,_cfg_file
1,4.697744696807861,,4.796721002197265,0.0393,0.025232315063476562,0.1,806.2755974428621,2.773102283477783,62.013535022735596,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
2,4.416263441925049,,4.295818590545655,0.0726,0.019275113940238953,0.1,810.5992412421091,2.7741551399230957,61.682761907577515,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
3,4.2997033183288575,,3.8666732635498047,0.0996,0.021696176379919052,0.1,812.285684640736,2.774230480194092,61.55469799041748,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
4,4.217407559814453,,3.710317105102539,0.1271,0.023973893374204636,0.1,813.9446266214857,2.774305820465088,61.429240226745605,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
5,4.150267030944824,,3.5876682598114016,0.1589,0.04594609513878822,0.1,812.5666974656332,2.774381160736084,61.53440999984741,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
6,4.009062632446289,,3.3386455467224123,0.1905,0.026711924001574516,0.1,811.6438211296243,2.77445650100708,61.603376626968384,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
7,3.981788888397217,,3.1854954444885255,0.2272,0.04046013578772545,0.1,809.6210007553831,2.774531841278076,61.757291316986084,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
8,3.7733226863861082,,2.9453927673339844,0.2756,0.03467847406864166,0.1,814.1741380299859,2.7746071815490723,61.41192364692688,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
9,3.6422118260192873,,2.705234077453613,0.31,0.03723476454615593,0.1,812.2742986667951,2.7746825218200684,61.55556082725525,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
10,3.5526638494110108,,2.7874326023101808,0.2951,0.02414642833173275,0.1,811.6881527241928,2.7747578620910645,61.6000120639801,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
