epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,_cfg_file,outdir
1,4.706272677154541,,4.994710144805908,0.0348,0.023402296006679535,0.1,799.7740689510265,2.773102283477783,62.51765584945679,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
2,4.432903983001709,,4.168581874084473,0.077,0.018173938617110252,0.1,807.332135611836,2.7741551399230957,61.93237924575806,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
3,4.327014160461426,,4.54890909576416,0.0508,0.029966989532113075,0.1,809.1413115000827,2.774230480194092,61.79390335083008,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
4,4.246083324279785,,3.7110975563049315,0.1196,0.022023174911737442,0.1,809.6699912735329,2.774305820465088,61.753554582595825,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
5,4.153049624938965,,3.523508187866211,0.1565,0.031314946711063385,0.1,804.252588646602,2.774381160736084,62.16952323913574,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
6,4.036345337982178,,3.4863551261901855,0.1883,0.029249880462884903,0.1,804.1637462722024,2.77445650100708,62.1763916015625,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
7,3.8807775926208494,,3.162212879943848,0.2194,0.022250419482588768,0.1,809.0972295667669,2.774531841278076,61.79727005958557,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
8,3.7345016591644287,,2.900649768447876,0.2653,0.014642140828073025,0.1,806.7163698464999,2.7746071815490723,61.97965216636658,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
9,3.605919445114136,,2.7195345802307127,0.3126,0.05056840181350708,0.1,804.1145934920771,2.7746825218200684,62.18019223213196,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
10,3.4823198059082032,,2.706724250793457,0.3251,0.04163280129432678,0.1,804.2825104446846,2.7747578620910645,62.16721034049988,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
11,3.4136330085754394,,2.513252282333374,0.3513,0.022021450102329254,0.1,806.5259767091795,2.7748332023620605,61.99428343772888,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
12,3.3503475621795653,,2.472769124984741,0.3651,0.04563544690608978,0.1,807.1582799294296,2.7749085426330566,61.94571900367737,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
