epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
1,4.722237846832275,0.02016,4.273327264404297,0.0426,0.007087810430675745,0.1,802.2950724419941,2.775299072265625,62.3212103843689,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
2,4.108557709960937,0.05882,3.9720944427490235,0.0795,0.011584772728383541,0.1,810.1178854733093,2.7753748893737793,61.71941256523132,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
3,3.8100102610778808,0.09726,3.6608929630279543,0.122,0.01294742152094841,0.1,809.2956064314803,2.7754502296447754,61.78212213516235,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
4,3.529801791381836,0.1473,3.3254371768951416,0.1916,0.010588185861706734,0.1,811.6700042063675,2.7755255699157715,61.6023895740509,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
5,3.253977619552612,0.19692,3.152159022140503,0.2289,0.034145988523960114,0.1,808.9709572509124,2.7756009101867676,61.80691599845886,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
6,3.0115463959503175,0.24774,3.1760661460876465,0.2571,0.04856389760971069,0.1,809.5071323526205,2.7756762504577637,61.76597833633423,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
7,2.7871867839050295,0.29284,2.7242991901397704,0.3133,0.040048595517873764,0.1,809.5618561916405,2.7757515907287598,61.761803150177,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
8,2.5983638053894045,0.3287,2.507772700881958,0.3471,0.03964988887310028,0.1,809.18589467341,2.775826930999756,61.79049873352051,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
9,2.405656234664917,0.36946,2.4512754566192627,0.3772,0.035126782953739166,0.1,806.9389379385457,2.775902271270752,61.96255707740784,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
10,2.2282209203338623,0.40878,2.4142315391540525,0.4061,0.06080782040953636,0.1,809.2499025950987,2.775977611541748,61.785611391067505,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
11,2.0584655072021483,0.44676,2.176270722961426,0.4311,0.06567899882793427,0.1,806.7422576946468,2.776052951812744,61.97766327857971,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
12,1.90319723777771,0.48256,1.9217679344177245,0.4842,0.037265002727508545,0.1,809.0594635897857,2.7761282920837402,61.80115461349487,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
13,1.767106841430664,0.5109,12.494528138160705,0.4474,0.10584951937198639,0.1,807.2267089363628,2.7762036323547363,61.940467834472656,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
14,1.6439603791046142,0.54128,1.8401522392272949,0.5046,0.07235268503427505,0.1,811.6989065044588,2.7762789726257324,61.59919595718384,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
15,1.532698148803711,0.56916,1.8151071741104126,0.5139,0.06875763088464737,0.1,809.441646592367,2.7763543128967285,61.77097535133362,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
16,1.431642209854126,0.59214,1.7229485134124756,0.5346,0.07444724440574646,0.1,809.6108301755395,2.7764296531677246,61.75806713104248,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
17,1.3405689920806885,0.61322,1.7312620935440064,0.5465,0.09499748796224594,0.1,806.4707755385755,2.7765049934387207,61.99852681159973,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
18,1.2620677841949464,0.63566,1.6540231115341186,0.5704,0.09895846992731094,0.1,807.0461497960888,2.776580333709717,61.95532560348511,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
19,1.1914290616607666,0.65094,1.6377831058502197,0.5659,0.10091109573841095,0.1,806.4793228824291,2.776655673980713,61.99786972999573,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
20,1.1201917245864867,0.67016,1.5705716259002687,0.5822,0.09467782080173492,0.1,806.7004351535292,2.776731014251709,61.980876445770264,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
21,1.0505910441970825,0.68878,1.5739926099777222,0.5806,0.10661666840314865,0.1,807.0463268240151,2.776806354522705,61.95431208610535,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
22,0.9936827509689331,0.70218,1.6212352838516235,0.5747,0.1110830008983612,0.1,809.2895601750158,2.776881694793701,61.783583641052246,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
23,0.9323078059768677,0.71868,1.525540287208557,0.6109,0.11580415070056915,0.1,809.1316430945737,2.7769570350646973,61.794641733169556,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
24,0.8847975751876831,0.73118,1.4840564985275269,0.6138,0.10740652680397034,0.1,809.6783377258384,2.7770323753356934,61.752918004989624,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
25,0.826539427909851,0.74784,1.5400340690612793,0.6046,0.12436728179454803,0.1,809.0820621969181,2.7771077156066895,61.798428535461426,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
26,0.7818420095634461,0.76036,1.5481010311126708,0.5987,0.11632384359836578,0.1,806.8073570542741,2.7771830558776855,61.97266244888306,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
27,0.7419704470443725,0.76982,1.4678357511520386,0.6247,0.1126619428396225,0.1,808.9996926139712,2.7772583961486816,61.804720640182495,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
28,0.6949770626068115,0.7849,1.494488465309143,0.6196,0.1280306726694107,0.1,809.594352753259,2.7773337364196777,61.759324073791504,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
29,0.6508615592575073,0.79668,1.4997194145202637,0.6179,0.12897390127182007,0.1,811.8578179427333,2.777409076690674,61.588138580322266,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
30,0.6134319522094727,0.80716,1.5901146423339845,0.6134,0.15088486671447754,0.1,806.9801517434464,2.77748441696167,61.960392236709595,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
31,0.5771965462875366,0.81572,1.624594896697998,0.6181,0.15571892261505127,0.1,809.3327822756726,2.777559757232666,61.77928423881531,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
32,0.5336032572364807,0.8297,1.5978393632888794,0.6184,0.1565794050693512,0.1,806.7287394501463,2.777635097503662,61.97920298576355,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
33,0.5049936347579956,0.83864,1.5597221551895142,0.6234,0.15538406372070312,0.1,806.9766707794097,2.777710437774658,61.959659814834595,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
34,0.46172045930862426,0.85268,1.6059784660339356,0.6255,0.17052289843559265,0.1,806.3584735721515,2.7777857780456543,62.007161378860474,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
35,0.43655226252555845,0.86026,1.631552130317688,0.6264,0.16879180073738098,0.1,809.3800479708751,2.7778611183166504,61.77567648887634,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
36,0.3987462940788269,0.8712,1.607196894645691,0.6361,0.17118658125400543,0.1,809.315772724095,2.7779364585876465,61.780582666397095,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
37,0.37424826545715334,0.87826,1.6651585689544677,0.6307,0.1809464693069458,0.1,806.8177615108295,2.7780117988586426,61.97286343574524,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
38,0.3386098746299744,0.891,1.6711909469604491,0.6299,0.17784176766872406,0.1,809.2563729578007,2.7780871391296387,61.785117387771606,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
39,0.3168555509185791,0.8979,1.7136481790542601,0.6332,0.18594706058502197,0.1,809.5455995140453,2.7781624794006348,61.76304340362549,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
40,0.300986503367424,0.9014,1.6798311687469483,0.6399,0.18186351656913757,0.1,806.7165188008353,2.778237819671631,61.97964072227478,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
41,0.27850213451385497,0.90984,1.6739385524749757,0.6399,0.1814567744731903,0.1,806.3415330042255,2.778313159942627,62.00946521759033,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
42,0.25824994627952574,0.91732,1.6889979005813598,0.6458,0.17884144186973572,0.1,807.0227299968044,2.778388500213623,61.95612359046936,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
43,0.2328333241844177,0.92694,1.6959568981170654,0.6431,0.1918906569480896,0.1,806.2303921353416,2.778463840484619,62.01701211929321,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
44,0.22311627149581909,0.92836,1.6466028316497803,0.6562,0.1818135678768158,0.1,809.9919200954577,2.7785391807556152,61.729010820388794,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
45,0.21360182165145875,0.9308,1.679705401992798,0.6435,0.19120322167873383,0.1,809.1186440268607,2.7786145210266113,61.795634508132935,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
46,0.19226629712104798,0.93984,1.6793787019729614,0.6573,0.18330100178718567,0.1,809.4247293112448,2.7786898612976074,61.77226638793945,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
47,0.17956947518348693,0.94248,1.7100831604003905,0.6553,0.19178824126720428,0.1,809.4244450194874,2.7787652015686035,61.77228808403015,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
48,0.15390622467041015,0.9527,1.725400193977356,0.6529,0.1960555762052536,0.1,809.3903252107272,2.7788405418395996,61.77589225769043,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
