epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,_cfg_file,outdir
1,4.344294960479736,0.0506,3.8866527130126953,0.0916,0.02675476297736168,0.1,764.8068752795792,2.775299072265625,65.37598133087158,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
2,3.773319976348877,0.1126,3.5602088291168212,0.164,0.023018795996904373,0.1,772.6212341548003,2.7753748893737793,64.71476292610168,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
3,3.4489645201873778,0.16458,3.2749648189544676,0.2076,0.03091784566640854,0.1,771.9616493249051,2.7754502296447754,64.77005696296692,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
4,3.15106996925354,0.22116,2.8846153491973876,0.2709,0.014858152717351913,0.1,771.8319610196359,2.7755255699157715,64.78094005584717,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
5,2.8470351734924315,0.27918,2.84184767036438,0.2962,0.08640147745609283,0.1,771.7025037009505,2.7756009101867676,64.7918074131012,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
6,2.5302009117889406,0.33744,2.535768805885315,0.3485,0.08211959898471832,0.1,771.8196584206173,2.7756762504577637,64.78197264671326,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
7,2.2353065699005126,0.39842,2.3071645347595213,0.4044,0.08821957558393478,0.1,772.1331859643975,2.7757515907287598,64.7556676864624,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
8,2.0010380894470217,0.45338,2.3739212203979494,0.4319,0.10315396636724472,0.1,771.783698788995,2.775826930999756,64.78499102592468,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
9,1.810327671508789,0.49582,2.1652503021240235,0.4752,0.050834037363529205,0.1,772.0695994042572,2.775902271270752,64.76100087165833,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
10,1.664811378173828,0.53002,1.7599115657806397,0.5147,0.06810997426509857,0.1,771.2520125432749,2.775977611541748,64.8296525478363,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
11,1.541330545501709,0.56074,1.7716696405410766,0.519,0.06377778947353363,0.1,772.4272233937215,2.776052951812744,64.73101735115051,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
12,1.4304697653198242,0.5886,1.6312562477111816,0.5487,0.056787554174661636,0.1,772.0772284426139,2.7761282920837402,64.76036095619202,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
13,1.3423677922821045,0.61216,1.6445566205978392,0.5541,0.10226856172084808,0.1,771.7859482980272,2.7762036323547363,64.78480219841003,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
14,1.2790297415924072,0.62726,1.667163267326355,0.5564,0.11557944118976593,0.1,771.3707555508563,2.7762789726257324,64.81967282295227,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
15,1.2042283214569092,0.64616,1.5522099081039429,0.5705,0.08648719638586044,0.1,772.3846898506903,2.7763543128967285,64.73458194732666,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
16,1.1436134985351563,0.66444,1.5254318754196168,0.587,0.09045657515525818,0.1,771.7701878092671,2.7764296531677246,64.78612518310547,resnet101,100,128,0.0001,True,42,cosine_warm,15,,,,,False,False,D:\8099\yaml\7.yaml,runs
