epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
1,4.344294960479736,0.0506,3.8866527130126953,0.0916,0.026754755526781082,0.1,793.538148002278,2.775299072265625,131900.36699999997,63.0089430809021,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
2,3.807092244796753,0.1089,3.513186693954468,0.1634,0.019910920411348343,0.1,802.3854088344984,2.7753748893737793,132130.5550000001,62.315154790878296,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
3,3.4365895361328125,0.16528,3.2039502433776854,0.2135,0.024379495531320572,0.1,801.554957420527,2.7754502296447754,131953.91799999983,62.37975311279297,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
4,3.087294644241333,0.22994,3.1003265533447264,0.2796,0.026162516325712204,0.1,801.9578253070566,2.7755255699157715,132130.1660000002,62.34741830825806,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
5,2.7005164332580565,0.30602,2.618072770690918,0.3269,0.09938496351242065,0.1,801.42976018175,2.7756009101867676,132123.34100000001,62.38849925994873,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
6,2.3436808583068847,0.37684,2.5097731342315672,0.3522,0.10001601278781891,0.1,798.3977740653978,2.7756762504577637,132141.77299999996,62.62542510032654,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
7,1.9792521555328368,0.45426,1.9384458164215088,0.4742,0.050827253609895706,0.1,799.4726836228874,2.7757515907287598,132064.341,62.541223764419556,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
8,1.7492009856796265,0.51182,1.8220254446029662,0.5034,0.05943462252616882,0.1,801.6819191493383,2.775826930999756,132106.1410000001,62.36987566947937,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
9,1.571881202468872,0.55572,1.9089169355392457,0.4993,0.07328895479440689,0.1,801.1389758444537,2.775902271270752,131958.97199999995,62.41114401817322,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
10,1.430247745361328,0.5889,1.6189191915512084,0.5574,0.06370499730110168,0.1,799.3441903926234,2.775977611541748,131963.64999999997,62.55227756500244,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
