epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,_cfg_file,outdir
1,4.723108884582519,0.01824,4.359672570037842,0.0353,0.013881238177418709,0.1,767.1945683868955,2.775299072265625,65.17251563072205,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
2,4.157075424880982,0.05284,4.047812307739258,0.0624,0.007344716228544712,0.1,774.7736468152359,2.7753748893737793,64.53497767448425,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
3,3.8198706285858153,0.09596,3.633865464401245,0.1309,0.009511878713965416,0.1,774.1194387324001,2.7754502296447754,64.58951616287231,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
4,3.462345019607544,0.16072,3.292533773422241,0.1912,0.02320786565542221,0.1,772.1427750294077,2.7755255699157715,64.75486350059509,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
5,3.1905389039611816,0.21132,3.1220662170410156,0.2365,0.040394920855760574,0.1,772.1017367536043,2.7756009101867676,64.758305311203,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
6,2.9919615282440186,0.24814,2.9642955139160154,0.2609,0.03989863023161888,0.1,771.8953919558238,2.7756762504577637,64.77561664581299,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
7,2.830561478347778,0.2826,2.8795645332336424,0.2807,0.07552780210971832,0.1,771.4492728747615,2.7757515907287598,64.81307554244995,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
8,2.6615284435272217,0.31416,2.7727396327972413,0.2959,0.0548885241150856,0.1,771.8322876929301,2.775826930999756,64.78091263771057,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
9,2.492185077972412,0.34814,2.638754761505127,0.3256,0.06295104324817657,0.1,772.2514667995191,2.775902271270752,64.74574947357178,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
10,2.3479259465789797,0.37682,2.6859544395446777,0.3289,0.08754000067710876,0.1,771.3712265333705,2.775977611541748,64.81963324546814,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
11,2.2462699085998534,0.39876,2.376611181640625,0.3846,0.06522909551858902,0.1,772.0762250619691,2.776052951812744,64.76044511795044,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
12,2.1373687657165528,0.42526,2.319610625076294,0.3904,0.06345605105161667,0.1,772.0541115557727,2.7761282920837402,64.76230001449585,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
13,2.058955001373291,0.44484,2.4043393516540528,0.3812,0.0966174453496933,0.1,773.7044410533534,2.7762036323547363,64.62416052818298,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
14,2.0097998133850097,0.45474,2.2796589744567872,0.4044,0.07884560525417328,0.1,774.7246926085121,2.7762789726257324,64.5390555858612,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
15,1.9570321446990966,0.46498,2.132486474609375,0.435,0.06001076102256775,0.1,771.9960028450979,2.7763543128967285,64.76717472076416,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
16,1.9150581983947754,0.47472,2.315552702331543,0.4025,0.10904336720705032,0.1,772.0716089761129,2.7764296531677246,64.7608323097229,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
17,1.8819549557113648,0.48158,2.4814514938354493,0.3707,0.14380934834480286,0.1,773.8449904520833,2.7765049934387207,64.61342358589172,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
18,1.8489430405426026,0.49014,2.3398906326293947,0.3983,0.11747583746910095,0.1,774.1425823060363,2.776580333709717,64.58758521080017,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
19,1.8225451845550538,0.49574,2.3990140689849855,0.3947,0.11167648434638977,0.1,774.4856975231313,2.776655673980713,64.5589714050293,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
20,1.8063414001464844,0.50234,2.4166216285705566,0.3904,0.14628788828849792,0.1,774.3484178038533,2.776731014251709,64.57041668891907,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
21,1.7673803498077392,0.5116,2.198720060348511,0.4369,0.10884684324264526,0.1,773.9322749696399,2.776806354522705,64.60513615608215,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
22,1.7291335361480713,0.52152,2.350743054199219,0.4121,0.1370687335729599,0.1,774.1913686569565,2.776881694793701,64.58451509475708,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
23,1.687925407142639,0.53032,2.0644134323120116,0.4529,0.0905105248093605,0.1,774.434134351984,2.7769570350646973,64.56326985359192,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
24,1.6730436464691163,0.53462,2.2033834323883057,0.4289,0.11025092005729675,0.1,773.8184183337822,2.7770323753356934,64.61464190483093,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
25,1.6426606359100342,0.54082,2.068651306915283,0.4599,0.09400296211242676,0.1,774.9907037419589,2.7771077156066895,64.51690292358398,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
26,1.6212028490829469,0.54932,2.2642821308135987,0.4172,0.13085386157035828,0.1,774.1927319395357,2.7771830558776855,64.5834014415741,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
27,1.5905539236831665,0.5533,1.824780548286438,0.5057,0.07153653353452682,0.1,774.2885281371176,2.7772583961486816,64.57541108131409,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
28,1.5677119723129271,0.55872,1.9433291431427002,0.4796,0.07908475399017334,0.1,774.3127968020843,2.7773337364196777,64.5733871459961,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
29,1.5585588730239868,0.56456,2.0789327743530275,0.4644,0.12740343809127808,0.1,773.9566784034945,2.777409076690674,64.60309910774231,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
30,1.5336049251556396,0.56938,2.0357972484588625,0.4645,0.09490911662578583,0.1,774.2536930119653,2.77748441696167,64.57831645011902,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
31,1.519400602722168,0.57224,1.9293943168640137,0.4911,0.09561090916395187,0.1,774.2936653397828,2.777559757232666,64.57498264312744,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
32,1.4978576698303223,0.57884,1.9502793062210082,0.486,0.08442235738039017,0.1,774.4537246310331,2.777635097503662,64.56163668632507,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
33,1.4805222880554199,0.58172,1.8468036437988282,0.5097,0.09032773226499557,0.1,774.2602847457947,2.777710437774658,64.57776665687561,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
34,1.4626490933609009,0.58654,1.8881040077209472,0.4871,0.079360730946064,0.1,771.7894901652146,2.7777857780456543,64.7845048904419,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
35,1.4465704421234131,0.59032,2.0155038137435914,0.4845,0.10842609405517578,0.1,774.6597199193793,2.7778611183166504,64.54446864128113,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
36,1.4382873683547974,0.5937,1.723508793258667,0.529,0.0865873470902443,0.1,773.985725179885,2.7779364585876465,64.60067462921143,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
37,1.4097475497817993,0.60116,1.8635262062072755,0.5082,0.0984143614768982,0.1,774.4792821403934,2.7780117988586426,64.55950617790222,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
38,1.3923297594451904,0.60452,1.8960896934509277,0.4913,0.09846608340740204,0.1,774.2204016116233,2.7780871391296387,64.58109331130981,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
39,1.3806620134735108,0.60526,1.8697977180480958,0.5075,0.11185061931610107,0.1,773.9386355946688,2.7781624794006348,64.6046051979065,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
40,1.3535184800338744,0.61172,1.9030953071594239,0.4902,0.11019241809844971,0.1,774.5208424351556,2.778237819671631,64.55604195594788,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
41,1.3317114584350587,0.6194,1.8440562536239624,0.5094,0.09805795550346375,0.1,774.2277788099041,2.778313159942627,64.5814778804779,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
42,1.3205811773300171,0.62044,1.715955778503418,0.5415,0.0812089741230011,0.1,773.9744421235259,2.778388500213623,64.60161638259888,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
43,1.3039863262176514,0.62604,1.6762842792510986,0.5394,0.09528052061796188,0.1,774.5514334328994,2.778463840484619,64.55349230766296,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
44,1.2824656133270265,0.63154,1.793724853515625,0.5353,0.10551190376281738,0.1,774.2086286832543,2.7785391807556152,64.58207535743713,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
45,1.2699446772003173,0.6356,1.622094662284851,0.5665,0.08173663914203644,0.1,771.6941551223254,2.7786145210266113,64.79350852966309,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
46,1.248160753288269,0.64026,1.7019927377700805,0.5401,0.07719842344522476,0.1,772.1833343196951,2.7786898612976074,64.75146222114563,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
47,1.2539434243011474,0.63744,1.688656807899475,0.5456,0.09523150324821472,0.1,774.2998003411266,2.7787652015686035,64.57447099685669,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
48,1.2162449346160888,0.64928,1.6555142868041992,0.5578,0.0837075486779213,0.1,773.8972748376414,2.7788405418395996,64.60905814170837,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
49,1.2040027935028077,0.65298,1.6708304521560668,0.5574,0.08431348204612732,0.1,774.5432176218244,2.7789158821105957,64.55417704582214,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
50,1.181632138557434,0.657,1.6498937732696533,0.5535,0.10848136991262436,0.1,774.4692888847608,2.778991222381592,64.56133937835693,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
51,1.1564528511428833,0.6645,1.6056524694442749,0.5662,0.08852732181549072,0.1,773.984365482749,2.779066562652588,64.60078811645508,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
52,1.1355039197540284,0.67062,1.709684368133545,0.548,0.10511831194162369,0.1,774.5235370005198,2.779141902923584,64.55581736564636,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
53,1.1159526388168335,0.67674,1.4980610794067384,0.5889,0.08301730453968048,0.1,771.6475427053422,2.77921724319458,64.79742217063904,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
54,1.0852727090072631,0.68416,1.538641212272644,0.5862,0.09276923537254333,0.1,774.0572674123272,2.779292583465576,64.59470391273499,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
55,1.076209955558777,0.68566,1.5190325956344604,0.5898,0.08344819396734238,0.1,774.4775202883908,2.7793679237365723,64.55965304374695,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
56,1.0423556130218505,0.69418,1.4923771574020386,0.5893,0.08745082467794418,0.1,774.0066896864005,2.7794432640075684,64.5989248752594,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
57,1.0248036629104613,0.69944,1.6920678928375243,0.5614,0.12356428802013397,0.1,774.246786961966,2.7795186042785645,64.57889246940613,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
58,0.9952138807678222,0.70678,1.6802181108474732,0.5716,0.11610361188650131,0.1,774.7277663751477,2.7795939445495605,64.539799451828,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
59,0.9691528648376465,0.71346,1.4485795450210572,0.6037,0.08684694766998291,0.1,774.015888261377,2.7796692848205566,64.59915733337402,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
60,0.9506276183319092,0.71914,1.5831379314422607,0.5747,0.09016531705856323,0.1,774.3933068199594,2.7797446250915527,64.56667375564575,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
61,0.9159963094329834,0.72782,1.569029995727539,0.5922,0.10130324214696884,0.1,773.8005390035964,2.779819965362549,64.61613488197327,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
62,0.8934759904289246,0.73506,1.4333457105636596,0.6122,0.08473841845989227,0.1,774.6443998116949,2.779895305633545,64.54574513435364,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
63,0.8718279380607605,0.74086,1.3352303274154662,0.6335,0.08098199963569641,0.1,774.16800782691,2.779970645904541,64.5854640007019,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
64,0.8326642493438721,0.75052,1.397984969139099,0.6325,0.0888238176703453,0.1,774.1317347444893,2.780045986175537,64.58849024772644,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
65,0.8221748161697388,0.75328,1.4724329273223877,0.6068,0.10020294785499573,0.1,774.4960573178608,2.780121326446533,64.55810785293579,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
66,0.7752475772094727,0.76652,1.5178005838394164,0.6098,0.11624007672071457,0.1,773.960571556171,2.7801966667175293,64.602774143219,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
67,0.7422992490005493,0.7767,1.4708230686187744,0.622,0.10861635953187943,0.1,774.6299215220096,2.7802720069885254,64.54695153236389,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
68,0.7105256212615967,0.78394,1.2301174711227416,0.6636,0.07555388659238815,0.1,774.302590569613,2.7803473472595215,64.57423830032349,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
69,0.6951965215682984,0.78872,1.4132533979415893,0.6275,0.12105341255664825,0.1,774.3089858720415,2.7804226875305176,64.57370495796204,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
70,0.646456012916565,0.80004,1.3288279417037965,0.6469,0.09809232503175735,0.1,774.2292508364595,2.7804980278015137,64.58135533332825,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
71,0.6044573478126526,0.8154,1.3689447909355164,0.6388,0.106827512383461,0.1,773.752892425129,2.7805733680725098,64.62111377716064,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
72,0.5754657556152344,0.82328,1.3329084882736206,0.6559,0.10960366576910019,0.1,774.5105935324418,2.780648708343506,64.5568962097168,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
73,0.541498691444397,0.83308,1.311115163421631,0.663,0.10386724025011063,0.1,774.3998694759986,2.780724048614502,64.56612658500671,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
74,0.5028102775764466,0.84602,1.3611870709419251,0.6541,0.12026063352823257,0.1,774.3507937975164,2.780799388885498,64.57021856307983,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
75,0.46522765884399414,0.85604,1.2460142296791077,0.6704,0.10634733736515045,0.1,774.33552879268,2.780874729156494,64.57149147987366,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
76,0.42238915177345276,0.86964,1.2520407383918761,0.6773,0.11046729236841202,0.1,773.6845547106998,2.7809500694274902,64.62682175636292,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
77,0.38363462012290955,0.88092,1.315133673286438,0.6734,0.11950457096099854,0.1,774.7912963468718,2.7810254096984863,64.53350758552551,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
78,0.34235555387496946,0.89602,1.214474223804474,0.6883,0.11235566437244415,0.1,774.2053275258089,2.7811007499694824,64.582350730896,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
79,0.3050375220298767,0.90758,1.1972701328277588,0.6999,0.11288277059793472,0.1,773.9236153195258,2.7811760902404785,64.60585904121399,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
80,0.2647667041015625,0.91926,1.18876334066391,0.7068,0.10909315943717957,0.1,774.5742252111849,2.7812514305114746,64.55159282684326,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
81,0.22633734063148497,0.9326,1.1716859455108644,0.7094,0.11170267313718796,0.1,774.5561078266021,2.7813267707824707,64.55310273170471,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
82,0.18968835563659667,0.94408,1.2276495180130005,0.7032,0.12715943157672882,0.1,773.700476262428,2.781402111053467,64.62449169158936,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
83,0.15713738703727723,0.95546,1.1646624881744385,0.7173,0.12113626301288605,0.1,774.7057010494395,2.781477451324463,64.54063773155212,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
84,0.13214047249317168,0.96462,1.1389868626594544,0.7227,0.11819925159215927,0.1,774.2199671587658,2.781552791595459,64.58212947845459,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
85,0.10363713269233704,0.97302,1.1144396419525147,0.7272,0.12242696434259415,0.1,774.1896395528349,2.781628131866455,64.58365941047668,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
86,0.08271533744812011,0.9795,1.1034984972953796,0.7335,0.11662201583385468,0.1,774.2517178004832,2.781703472137451,64.57848119735718,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
87,0.06627712342500687,0.9847,1.110896943283081,0.7352,0.11913061887025833,0.1,774.5208424351556,2.7817788124084473,64.55604195594788,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
88,0.05604145694732666,0.9879,1.0780044589996338,0.7409,0.11350394040346146,0.1,773.8113144703271,2.7818541526794434,64.61523509025574,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
89,0.044761023983955386,0.99204,1.0701859357357024,0.7426,0.11658637225627899,0.1,774.4824826680281,2.7819294929504395,64.5592393875122,resnet101,100,128,0.0008,True,42,cosine,0,,,,,False,False,D:\8099\yaml\5.yaml,runs
