epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
1,4.747133071594238,0.01664,4.41199432144165,0.032,0.012741517275571823,0.1,787.5653547839121,2.775299072265625,132071.8279999999,63.4867947101593,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
2,4.223410110778809,0.04068,4.082973334503174,0.0537,0.009695918299257755,0.1,791.9637240590823,2.7753748893737793,132070.0769999999,63.13420486450195,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
3,3.949350996017456,0.0745,3.825396137237549,0.0928,0.007397021166980267,0.1,791.1989678472877,2.7754502296447754,131918.80699999983,63.195229053497314,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
4,3.688113540649414,0.11764,3.7200039524078368,0.1158,0.01173657737672329,0.1,794.5198395352945,2.7755255699157715,131904.49600000004,62.93109059333801,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
5,3.4635330894470213,0.15948,3.394643420791626,0.1828,0.011179621331393719,0.1,793.7374273222265,2.7756009101867676,131986.69400000002,62.99312376976013,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
6,3.240901296234131,0.19888,3.157361833572388,0.2184,0.048504192382097244,0.1,791.3058774321473,2.7756762504577637,131895.197,63.18669104576111,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
7,2.9963599687194824,0.24508,3.0362041065216063,0.2437,0.05788213014602661,0.1,791.403856231097,2.7757515907287598,132027.09000000008,63.17886829376221,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
8,2.7659855006408693,0.28772,3.0833231189727783,0.2474,0.10573728382587433,0.1,791.6986107304224,2.775826930999756,131969.11399999997,63.155346393585205,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
9,2.54865798576355,0.32886,2.75365795211792,0.3036,0.09523467719554901,0.1,790.7276665967606,2.775902271270752,132077.59799999997,63.232895612716675,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
10,2.382328247680664,0.36622,2.5228691287994387,0.3337,0.06373666971921921,0.1,779.1159888666191,2.775977611541748,132022.55899999995,64.17529702186584,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
11,2.2845180989074705,0.39002,3.0694996715545653,0.2902,0.12777826189994812,0.1,794.2060592060842,2.776052951812744,132049.93999999992,62.95595383644104,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
